,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,date,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,1,0,1,4,2.0,2,1.0,9,9,6,27,1.125,29,1.20833333333,1,1,1,2,0.666666666667,4,1.33333333333,9,9,6,27,1.125,29,1.20833333333,48,Balanced,Little,55,Mixed,Organised,51,Normal,57,Normal,37,Normal,Organised,38,Medium,40,Press,41,Normal,Cover,59,Balanced,Normal,29,Short,Organised,32,Safe,49,Normal,62,Normal,Organised,42,Medium,44,Press,54,Normal,Cover,188.190909091,80.5744334545,181.494545455,77.11064,75.18181818181819,77.27272727272727,75.0,74.0,76.0,82.36363636363636,82.9090909090909,81.8,80.0,84.25,3 days 00:00:00.000000000,4 days 00:00:00.000000000,4187,1729,1729,2014/2015,25,2015-02-11,10194,8456,5.75,3.8,1.7,4-2-3-1,4-2-3-1,A
0,1,1,0,2,1.0,1,0.5,4,8,12,22,0.916666666667,34,1.41666666667,0,2,1,4,1.33333333333,6,2.0,4,8,12,22,0.916666666667,34,1.41666666667,60,Balanced,Little,61,Mixed,Organised,56,Normal,44,Normal,58,Normal,Organised,41,Medium,38,Press,53,Normal,Cover,52,Balanced,Normal,53,Mixed,Organised,53,Normal,54,Normal,54,Normal,Organised,50,Medium,44,Press,54,Normal,Cover,181.725454545,77.2755825455,185.650909091,78.8837723636,73.54545454545455,75.63636363636364,73.4,72.0,74.0,73.9090909090909,76.0,74.8,73.0,73.5,3 days 00:00:00.000000000,3 days 00:00:00.000000000,4188,1729,1729,2014/2015,25,2015-02-10,8472,10172,1.91,3.6,4.5,4-1-4-1,4-4-2,A
0,0,2,0,1,0.5,4,2.0,5,13,7,12,0.48,34,1.36,0,3,0,0,0.0,8,2.66666666667,5,13,7,12,0.48,34,1.36,66,Balanced,Little,72,Long,Organised,63,Normal,48,Normal,56,Normal,Organised,39,Medium,42,Press,52,Normal,Cover,48,Balanced,Little,55,Mixed,Organised,51,Normal,57,Normal,37,Normal,Organised,38,Medium,40,Press,41,Normal,Cover,182.418181818,75.4199789091,184.958181818,79.5023069091,75.0909090909091,77.27272727272727,75.2,75.0,75.0,74.45454545454545,75.72727272727273,74.8,74.33333333333333,74.0,11 days 00:00:00.000000000,10 days 00:00:00.000000000,4189,1729,1729,2014/2015,26,2015-02-21,10252,10194,2.7,3.2,2.9,4-3-3,4-3-3,A
0,2,0,1,4,1.33333333333,1,0.333333333333,18,2,5,55,2.2,21,0.84,2,0,0,7,3.5,1,0.5,18,2,5,55,2.2,21,0.84,67,Fast,Normal,38,Mixed,Organised,41,Normal,61,Normal,68,Lots,Organised,39,Medium,41,Press,46,Normal,Cover,48,Balanced,Little,74,Long,Organised,72,Risky,59,Normal,58,Normal,Organised,54,Medium,57,Press,58,Normal,Cover,184.496363636,80.5331978182,182.649090909,76.8632261818,82.9090909090909,85.36363636363636,81.2,84.0,84.5,70.9090909090909,73.81818181818181,71.0,70.25,72.0,10 days 00:00:00.000000000,10 days 00:00:00.000000000,4190,1729,1729,2014/2015,26,2015-02-21,8455,8191,1.2,7.5,17.0,4-2-3-1,4-5-1,D
0,1,1,1,3,1.0,3,1.0,6,10,9,27,1.08,35,1.4,2,0,0,4,2.0,2,1.0,6,10,9,27,1.08,35,1.4,61,Balanced,Normal,68,Long,Organised,67,Risky,62,Normal,52,Normal,Organised,36,Medium,34,Press,48,Normal,Cover,59,Balanced,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,182.418181818,77.5229963636,182.187272727,74.6777374545,72.72727272727273,74.9090909090909,74.2,72.0,70.5,79.36363636363636,82.0,77.6,78.5,82.0,10 days 00:00:00.000000000,11 days 00:00:00.000000000,4191,1729,1729,2014/2015,26,2015-02-21,9826,9825,4.75,3.75,1.83,4-5-1,4-2-3-1,A
0,0,0,3,1,0.333333333333,1,0.333333333333,6,10,9,31,1.24,35,1.4,1,1,0,1,0.5,1,0.5,6,10,9,31,1.24,35,1.4,61,Balanced,Normal,42,Mixed,Organised,39,Normal,59,Normal,48,Normal,Organised,52,Medium,58,Press,60,Normal,Cover,63,Balanced,Normal,48,Mixed,Organised,47,Normal,62,Normal,69,Lots,Organised,58,Medium,62,Press,54,Normal,Cover,180.801818182,77.11064,181.725454545,77.4817607273,78.36363636363636,81.81818181818181,79.4,76.5,78.0,71.54545454545455,73.9090909090909,73.5,71.5,69.0,11 days 00:00:00.000000000,12 days 00:00:00.000000000,4192,1729,1729,2014/2015,26,2015-02-22,8668,8197,1.83,3.6,5.0,4-2-3-1,3-4-3,D
0,0,1,1,0,0.0,1,0.5,14,7,4,38,1.52,17,0.68,3,0,0,4,1.33333333333,1,0.333333333333,14,7,4,38,1.52,17,0.68,47,Balanced,Normal,40,Mixed,Organised,42,Normal,56,Normal,51,Normal,Free Form,62,Medium,64,Press,44,Normal,Cover,71,Fast,Normal,32,Short,Organised,34,Normal,41,Normal,61,Normal,Organised,51,Medium,48,Press,62,Normal,Cover,183.572727273,75.8735709091,179.416363636,74.6365018182,73.9090909090909,78.27272727272727,72.2,75.33333333333333,75.33333333333333,77.45454545454545,82.81818181818181,77.5,75.0,80.66666666666667,11 days 00:00:00.000000000,12 days 00:00:00.000000000,4195,1729,1729,2014/2015,26,2015-02-22,8466,8650,2.63,3.3,2.9,4-3-3,3-4-3,A
0,1,2,0,2,0.666666666667,3,1.0,4,9,12,22,0.88,36,1.44,0,1,1,2,1.0,3,1.5,4,9,12,22,0.88,36,1.44,60,Balanced,Little,61,Mixed,Organised,56,Normal,44,Normal,58,Normal,Organised,41,Medium,38,Press,53,Normal,Cover,55,Balanced,Normal,51,Mixed,Organised,53,Normal,53,Normal,57,Normal,Organised,41,Medium,40,Press,49,Normal,Cover,183.803636364,78.8425367273,184.496363636,80.9455541818,74.63636363636364,75.27272727272727,74.2,75.25,74.5,74.27272727272727,75.81818181818181,74.0,74.75,74.0,11 days 00:00:00.000000000,10 days 00:00:00.000000000,4196,1729,1729,2014/2015,26,2015-02-21,8472,8659,2.7,3.2,2.9,4-5-1,4-4-2,D
0,0,1,2,2,0.666666666667,7,2.33333333333,9,9,7,28,1.12,33,1.32,1,1,0,1,0.5,2,1.0,9,9,7,28,1.12,33,1.32,63,Balanced,Normal,34,Mixed,Organised,34,Normal,51,Normal,36,Normal,Free Form,51,Medium,58,Press,54,Normal,Cover,46,Balanced,Normal,54,Mixed,Organised,49,Normal,72,Lots,56,Normal,Organised,42,Medium,41,Press,56,Normal,Cover,183.110909091,78.471416,184.727272727,76.7395192727,75.0909090909091,77.45454545454545,74.4,74.66666666666667,76.66666666666667,79.54545454545455,83.72727272727273,75.8,79.0,83.4,10 days 00:00:00.000000000,10 days 00:00:00.000000000,4197,1729,1729,2014/2015,26,2015-02-21,10003,10260,4.2,3.5,2.0,4-1-3-2,4-1-3-2,H
0,2,0,0,4,2.0,2,1.0,13,8,4,39,1.56,34,1.36,1,2,0,6,2.0,5,1.66666666667,13,8,4,39,1.56,34,1.36,41,Balanced,Normal,38,Mixed,Organised,41,Normal,59,Normal,62,Normal,Organised,58,Medium,51,Press,56,Normal,Cover,72,Fast,Normal,73,Long,Organised,68,Risky,71,Lots,32,Little,Organised,30,Deep,34,Press,41,Normal,Cover,183.110909091,74.84268,183.803636364,75.2138007273,76.63636363636364,81.54545454545455,78.2,72.0,77.0,74.18181818181819,77.27272727272727,73.4,75.5,73.5,12 days 00:00:00.000000000,11 days 00:00:00.000000000,4198,1729,1729,2014/2015,26,2015-02-22,8586,8654,1.8,3.8,4.75,4-2-3-1,4-4-2,D
0,2,0,0,7,3.5,1,0.5,14,6,6,49,1.88461538462,29,1.11538461538,2,1,0,5,1.66666666667,3,1.0,14,6,6,49,1.88461538462,29,1.11538461538,59,Balanced,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,61,Balanced,Normal,42,Mixed,Organised,39,Normal,59,Normal,48,Normal,Organised,52,Medium,58,Press,60,Normal,Cover,179.878181818,73.2757258182,183.572727273,78.6363585455,78.45454545454545,82.18181818181819,75.6,72.0,82.6,77.18181818181819,81.36363636363636,75.6,77.66666666666667,79.33333333333333,8 days 00:00:00.000000000,7 days 00:00:00.000000000,4199,1729,1729,2014/2015,27,2015-03-01,9825,8668,1.57,4.5,6.0,4-1-2-3,4-3-3,H
