,home_V,home_D,home_E,home_GF,home_AVG_GF,home_GS,home_AVG_GS,home_VG,home_DG,home_EG,home_GFG,home_AVG_GFG,home_GSG,home_AVG_GSG,away_V,away_D,away_E,away_GF,away_AVG_GF,away_GS,away_AVG_GS,away_VG,away_DG,away_EG,away_GFG,away_AVG_GFG,away_GSG,away_AVG_GSG,h_buildUpPlaySpeed,h_buildUpPlaySpeedClass,h_buildUpPlayDribblingClass,h_buildUpPlayPassing,h_buildUpPlayPassingClass,h_buildUpPlayPositioningClass,h_chanceCreationPassing,h_chanceCreationPassingClass,h_chanceCreationCrossing,h_chanceCreationCrossingClass,h_chanceCreationShooting,h_chanceCreationShootingClass,h_chanceCreationPositioningClass,h_defencePressure,h_defencePressureClass,h_defenceAggression,h_defenceAggressionClass,h_defenceTeamWidth,h_defenceTeamWidthClass,h_defenceDefenderLineClass,a_buildUpPlaySpeed,a_buildUpPlaySpeedClass,a_buildUpPlayDribblingClass,a_buildUpPlayPassing,a_buildUpPlayPassingClass,a_buildUpPlayPositioningClass,a_chanceCreationPassing,a_chanceCreationPassingClass,a_chanceCreationCrossing,a_chanceCreationCrossingClass,a_chanceCreationShooting,a_chanceCreationShootingClass,a_chanceCreationPositioningClass,a_defencePressure,a_defencePressureClass,a_defenceAggression,a_defenceAggressionClass,a_defenceTeamWidth,a_defenceTeamWidthClass,a_defenceDefenderLineClass,h_avg_height,h_avg_weight,a_avg_height,a_avg_weight,h_overall,h_potential,h_def,h_mid,h_att,a_overall,a_potential,a_def,a_mid,a_att,h_date,a_date,id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,B365H,B365D,B365A,formation_h,formation_a,Output
0,0,0,2,2,1.0,2,1.0,9,16,7,30,0.9375,44,1.375,0,2,1,1,0.333333333333,5,1.66666666667,9,16,7,30,0.9375,44,1.375,60,Balanced,Little,35,Mixed,Organised,35,Normal,70,Lots,60,Normal,Organised,65,Medium,30,Contain,45,Normal,Cover,55,Balanced,Little,65,Mixed,Organised,65,Normal,40,Normal,60,Normal,Organised,45,Medium,55,Press,70,Wide,Cover,182.418181818,78.5538872727,184.958181818,80.739376,,,,75.5,73.75,74.18181818181819,79.54545454545455,74.2,73.0,74.75,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8660,7809,7809,2010/2011,33,9810,8722,2.0,3.4,3.75,4-2-3-1,4-2-3-1,A
0,2,0,0,6,3.0,1,0.5,9,18,5,45,1.40625,64,2.0,1,2,0,1,0.333333333333,2,0.666666666667,9,18,5,45,1.40625,64,2.0,65,Balanced,Little,45,Mixed,Organised,50,Normal,70,Lots,65,Normal,Organised,55,Medium,40,Press,65,Normal,Cover,50,Balanced,Little,30,Short,Organised,30,Safe,70,Lots,60,Normal,Organised,55,Medium,50,Press,50,Normal,Cover,185.42,81.6877956364,185.42,78.1827665455,71.54545454545455,77.9090909090909,70.2,72.0,74.0,71.9090909090909,76.81818181818181,71.0,71.4,79.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8661,7809,7809,2010/2011,33,9788,8358,1.57,4.0,5.5,4-4-2,4-1-4-1,H
0,0,0,2,1,0.5,1,0.5,13,11,8,45,1.40625,40,1.25,1,2,0,2,0.666666666667,3,1.0,13,11,8,45,1.40625,40,1.25,45,Balanced,Little,50,Mixed,Organised,40,Normal,70,Lots,70,Lots,Organised,55,Medium,55,Press,40,Normal,Cover,70,Fast,Little,30,Short,Organised,70,Risky,55,Normal,55,Normal,Organised,65,Medium,70,Double,65,Normal,Offside Trap,183.803636364,82.4300370909,184.958181818,80.3270196364,71.72727272727273,78.9090909090909,70.2,73.0,73.0,74.0,81.36363636363636,75.0,72.0,74.33333333333333,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8662,7809,7809,2010/2011,33,8165,8226,1.8,3.6,4.33,4-1-3-2,4-3-3,A
0,0,2,0,1,0.5,5,2.5,8,19,5,33,1.03125,58,1.8125,0,2,1,3,1.0,6,2.0,8,19,5,33,1.03125,58,1.8125,60,Balanced,Little,60,Mixed,Organised,50,Normal,70,Lots,70,Lots,Organised,60,Medium,70,Double,55,Normal,Cover,65,Balanced,Little,40,Mixed,Free Form,65,Normal,70,Lots,70,Lots,Free Form,70,High,40,Press,65,Normal,Cover,182.88,79.0899505455,182.88,78.925008,68.18181818181819,73.72727272727273,67.2,67.5,69.75,81.36363636363636,85.45454545454545,78.2,83.0,84.5,8 days 00:00:00.000000000,7 days 00:00:00.000000000,8663,7809,7809,2010/2011,33,8152,9823,11.0,6.5,1.22,4-2-3-1,4-2-3-1,A
0,2,0,0,9,4.5,2,1.0,18,7,8,79,2.39393939394,39,1.18181818182,1,0,2,10,3.33333333333,3,1.0,18,7,8,79,2.39393939394,39,1.18181818182,65,Balanced,Little,40,Mixed,Free Form,65,Normal,70,Lots,70,Lots,Free Form,70,High,40,Press,65,Normal,Cover,70,Fast,Little,30,Short,Organised,60,Normal,70,Lots,70,Lots,Organised,65,Medium,50,Press,60,Normal,Cover,184.265454545,80.3682552727,181.725454545,77.9353527273,80.72727272727273,84.9090909090909,77.6,83.0,83.5,74.0,79.27272727272727,73.4,75.5,74.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8664,7809,7809,2010/2011,34,9823,10269,1.29,5.5,10.0,4-2-3-1,4-2-3-1,H
0,1,1,0,2,1.0,2,1.0,11,12,10,49,1.48484848485,47,1.42424242424,1,2,0,5,1.66666666667,6,2.0,11,12,10,49,1.48484848485,47,1.42424242424,70,Fast,Little,30,Short,Organised,70,Risky,55,Normal,55,Normal,Organised,65,Medium,70,Double,65,Normal,Offside Trap,65,Balanced,Little,45,Mixed,Organised,65,Normal,60,Normal,70,Lots,Organised,45,Medium,60,Press,50,Normal,Cover,184.265454545,80.1620770909,184.496363636,80.5331978182,73.63636363636364,80.81818181818181,74.2,71.5,74.0,77.18181818181819,82.0,77.6,76.33333333333333,77.33333333333333,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8665,7809,7809,2010/2011,34,8226,8721,3.5,3.6,2.0,4-2-3-1,4-1-3-2,A
0,1,1,0,2,1.0,1,0.5,18,12,3,46,1.39393939394,44,1.33333333333,1,1,1,4,1.33333333333,3,1.0,18,12,3,46,1.39393939394,44,1.33333333333,55,Balanced,Little,70,Long,Organised,65,Normal,45,Normal,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,45,Balanced,Little,50,Mixed,Organised,40,Normal,70,Lots,70,Lots,Organised,55,Medium,55,Press,40,Normal,Cover,181.263636364,77.4405250909,185.42,82.553744,73.0,77.18181818181819,73.6,71.25,75.0,,,67.0,,76.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8666,7809,7809,2010/2011,34,9904,8165,2.05,3.5,3.4,4-4-2,4-1-4-1,H
0,2,0,0,5,2.5,0,0.0,22,5,6,64,1.93939393939,21,0.636363636364,0,2,1,1,0.333333333333,4,1.33333333333,22,5,6,64,1.93939393939,21,0.636363636364,70,Fast,Little,45,Mixed,Organised,70,Risky,34,Normal,66,Normal,Free Form,54,Medium,70,Double,53,Normal,Offside Trap,60,Balanced,Little,35,Mixed,Organised,35,Normal,70,Lots,60,Normal,Organised,65,Medium,30,Contain,45,Normal,Cover,183.803636364,80.285784,181.494545455,77.7704101818,77.0,82.18181818181819,77.2,75.5,77.5,72.36363636363636,77.45454545454545,71.6,68.0,75.5,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8667,7809,7809,2010/2011,34,9789,9810,1.57,4.33,5.0,4-2-3-1,4-2-3-1,H
0,0,1,2,1,0.333333333333,3,1.0,12,13,8,45,1.36363636364,51,1.54545454545,0,1,1,1,0.5,4,2.0,12,13,8,45,1.36363636364,51,1.54545454545,70,Fast,Little,60,Mixed,Organised,70,Risky,60,Normal,70,Lots,Organised,70,High,45,Press,60,Normal,Cover,65,Balanced,Little,45,Mixed,Organised,50,Normal,70,Lots,65,Normal,Organised,55,Medium,40,Press,65,Normal,Cover,182.88,80.5744334545,185.42,81.6877956364,74.9090909090909,81.0,76.8,74.0,72.0,71.54545454545455,77.9090909090909,70.2,72.0,74.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8668,7809,7809,2010/2011,34,9790,9788,2.88,3.5,2.3,4-4-2,4-4-2,D
0,2,0,0,4,2.0,0,0.0,17,12,4,50,1.51515151515,38,1.15151515152,1,1,1,3,1.0,3,1.0,17,12,4,50,1.51515151515,38,1.15151515152,45,Balanced,Little,40,Mixed,Organised,45,Normal,70,Lots,70,Lots,Organised,50,Medium,70,Double,50,Normal,Cover,60,Balanced,Little,60,Mixed,Organised,50,Normal,70,Lots,70,Lots,Organised,60,Medium,70,Double,55,Normal,Cover,185.189090909,81.5640887273,185.189090909,80.2445483636,72.0909090909091,76.63636363636364,72.2,68.5,73.75,68.54545454545455,74.27272727272727,67.8,67.5,70.0,7 days 00:00:00.000000000,7 days 00:00:00.000000000,8669,7809,7809,2010/2011,34,9905,8152,1.36,5.0,7.5,4-2-3-1,4-2-3-1,H
